Ensembl Gene ID	Description	Associated Gene Name
ENSG00000206178	hemoglobin, zeta pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4836]	HBZP1
ENSG00000213478	cofilin 1 (non-muscle) pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:1878]	CFL1P2
ENSG00000234645	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:49439]	YWHAEP5
ENSG00000237489	long intergenic non-protein coding RNA 959 [Source:HGNC Symbol;Acc:HGNC:48677]	LINC00959
ENSG00000143452	HORMA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25245]	HORMAD1
ENSG00000169604	anthrax toxin receptor 1 [Source:HGNC Symbol;Acc:HGNC:21014]	ANTXR1
ENSG00000197272	interleukin 27 [Source:HGNC Symbol;Acc:HGNC:19157]	IL27
ENSG00000259142	long intergenic non-protein coding RNA 644 [Source:HGNC Symbol;Acc:HGNC:44297]	LINC00644
ENSG00000277607	V-set and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29455]	VSTM1
ENSG00000202051	RNA, U6 small nuclear 382, pseudogene [Source:HGNC Symbol;Acc:HGNC:47345]	RNU6-382P
ENSG00000271661	BCL2/adenovirus E1B 19kDa interacting protein 3 pseudogene 36 [Source:HGNC Symbol;Acc:HGNC:49716]	BNIP3P36
ENSG00000114993	rhotekin [Source:HGNC Symbol;Acc:HGNC:10466]	RTKN
ENSG00000188101	arachidonate 15-lipoxygenase pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39027]	ALOX15P2
ENSG00000212899	keratin associated protein 3-3 [Source:HGNC Symbol;Acc:HGNC:18890]	KRTAP3-3
ENSG00000275181	G protein-coupled receptor 20 [Source:HGNC Symbol;Acc:HGNC:4475]	GPR20
ENSG00000146556	WAS protein family homolog 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:33145]	WASH2P
ENSG00000148584	APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]	A1CF
ENSG00000088854	chromosome 20 open reading frame 194 [Source:HGNC Symbol;Acc:HGNC:17721]	C20orf194
ENSG00000165097	lysine (K)-specific demethylase 1B [Source:HGNC Symbol;Acc:HGNC:21577]	KDM1B
ENSG00000166848	telomeric repeat binding factor 2, interacting protein [Source:HGNC Symbol;Acc:HGNC:19246]	TERF2IP
ENSG00000215811	butyrophilin-like 10 [Source:HGNC Symbol;Acc:HGNC:42540]	BTNL10
ENSG00000269821	KCNQ1 opposite strand/antisense transcript 1 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:6295]	KCNQ1OT1
ENSG00000100351	GRB2-related adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:4563]	GRAP2
ENSG00000276159	V-set and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29455]	VSTM1
ENSG00000221468	RNA, U6atac small nuclear 11, pseudogene [Source:HGNC Symbol;Acc:HGNC:46910]	RNU6ATAC11P
ENSG00000224003	YES1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:12842]	YES1P1
ENSG00000183929	dual specificity phosphatase 5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32020]	DUSP5P1
ENSG00000135070	iron-sulfur cluster assembly 1 [Source:HGNC Symbol;Acc:HGNC:28660]	ISCA1
ENSG00000157119	kelch-like family member 40 [Source:HGNC Symbol;Acc:HGNC:30372]	KLHL40
ENSG00000167232	zinc finger protein 91 [Source:HGNC Symbol;Acc:HGNC:13166]	ZNF91
ENSG00000134759	elongator acetyltransferase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:18248]	ELP2
ENSG00000234975	ferritin, heavy polypeptide 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:3989]	FTH1P2
ENSG00000188305	chromosome 19 open reading frame 35 [Source:HGNC Symbol;Acc:HGNC:24793]	C19orf35
ENSG00000233549	cytochrome c, somatic pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:24409]	CYCSP35
ENSG00000196337	chorionic gonadotropin, beta polypeptide 7 [Source:HGNC Symbol;Acc:HGNC:16451]	CGB7
ENSG00000187867	paralemmin 3 [Source:HGNC Symbol;Acc:HGNC:33274]	PALM3
ENSG00000162373	BEN domain containing 5 [Source:HGNC Symbol;Acc:HGNC:25668]	BEND5
ENSG00000228304	olfactory receptor, family 4, subfamily K, member 6 pseudogene [Source:HGNC Symbol;Acc:HGNC:14748]	OR4K6P
ENSG00000260492	chondrogenesis-associated transcript [Source:HGNC Symbol;Acc:HGNC:49426]	CISTR
ENSG00000214013	glucosidase, alpha; neutral C [Source:HGNC Symbol;Acc:HGNC:4139]	GANC
ENSG00000139133	ALG10, alpha-1,2-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23162]	ALG10
ENSG00000116574	ras homolog family member U [Source:HGNC Symbol;Acc:HGNC:17794]	RHOU
ENSG00000182379	neurexophilin 4 [Source:HGNC Symbol;Acc:HGNC:8078]	NXPH4
ENSG00000230675	major histocompatibility complex, class II, DQ beta 2 [Source:HGNC Symbol;Acc:HGNC:4945]	HLA-DQB2
ENSG00000173327	mitogen-activated protein kinase kinase kinase 11 [Source:HGNC Symbol;Acc:HGNC:6850]	MAP3K11
ENSG00000236991	EDRF1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49501]	EDRF1-AS1
ENSG00000229414	KCNQ1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:42790]	KCNQ1-AS1
ENSG00000120289	melanoma antigen family B, 4 [Source:HGNC Symbol;Acc:HGNC:6811]	MAGEB4
ENSG00000184716	serine incorporator 4 [Source:HGNC Symbol;Acc:HGNC:32237]	SERINC4
ENSG00000227442	major histocompatibility complex, class II, DR beta 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4950]	HLA-DRB2
ENSG00000197273	guanylate cyclase activator 2A (guanylin) [Source:HGNC Symbol;Acc:HGNC:4682]	GUCA2A
ENSG00000243700	RNA, 7SL, cytoplasmic 598, pseudogene [Source:HGNC Symbol;Acc:HGNC:46614]	RN7SL598P
ENSG00000157680	diacylglycerol kinase, iota [Source:HGNC Symbol;Acc:HGNC:2855]	DGKI
ENSG00000197265	general transcription factor IIE, polypeptide 2, beta 34kDa [Source:HGNC Symbol;Acc:HGNC:4651]	GTF2E2
ENSG00000198390	keratin associated protein 13-1 [Source:HGNC Symbol;Acc:HGNC:18924]	KRTAP13-1
ENSG00000169682	spinster homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:30621]	SPNS1
ENSG00000223731	suppressor of Ty 20 homolog (S. cerevisiae)-like 1 [Source:HGNC Symbol;Acc:HGNC:30773]	SUPT20HL1
ENSG00000019144	pleckstrin homology-like domain, family B, member 1 [Source:HGNC Symbol;Acc:HGNC:23697]	PHLDB1
ENSG00000276731	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 2 [Source:HGNC Symbol;Acc:HGNC:6330]	KIR2DL2
ENSG00000205060	solute carrier family 35 (UDP-xylose/UDP-N-acetylglucosamine transporter), member B4 [Source:HGNC Symbol;Acc:HGNC:20584]	SLC35B4
ENSG00000185652	neurotrophin 3 [Source:HGNC Symbol;Acc:HGNC:8023]	NTF3
ENSG00000232419	testis-specific transcript, Y-linked 19 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:18843]	TTTY19
ENSG00000188386	protein phosphatase 3, regulatory subunit B, beta [Source:HGNC Symbol;Acc:HGNC:9318]	PPP3R2
ENSG00000102452	sodium leak channel, non-selective [Source:HGNC Symbol;Acc:HGNC:19082]	NALCN
ENSG00000231884	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:30893]	NDUFB1P1
ENSG00000146267	failed axon connections homolog (Drosophila) [Source:HGNC Symbol;Acc:HGNC:20742]	FAXC
ENSG00000162222	tetratricopeptide repeat domain 9C [Source:HGNC Symbol;Acc:HGNC:28432]	TTC9C
ENSG00000265499	microRNA 3156-2 [Source:HGNC Symbol;Acc:HGNC:38213]	MIR3156-2
ENSG00000170469	spermatogenesis associated 24 [Source:HGNC Symbol;Acc:HGNC:27322]	SPATA24
ENSG00000201041	RNA, 5S ribosomal pseudogene 242 [Source:HGNC Symbol;Acc:HGNC:43142]	RNA5SP242
ENSG00000233699	testis-specific transcript, Y-linked 18 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:18842]	TTTY18
ENSG00000261233	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:64]	ABCD1P3
ENSG00000174678	family with sequence similarity 47, member D, pseudogene [Source:HGNC Symbol;Acc:HGNC:34342]	FAM47DP
ENSG00000235459	ribosomal protein S26 pseudogene 31 [Source:HGNC Symbol;Acc:HGNC:36614]	RPS26P31
ENSG00000233143	DIRC3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50636]	DIRC3-AS1
ENSG00000160284	spermatogenesis and centriole associated 1-like [Source:HGNC Symbol;Acc:HGNC:1298]	SPATC1L
ENSG00000239921	long intergenic non-protein coding RNA 1471 [Source:HGNC Symbol;Acc:HGNC:51106]	LINC01471
ENSG00000278186	golgin A8 family, member M [Source:HGNC Symbol;Acc:HGNC:44404]	GOLGA8M
ENSG00000214107	melanoma antigen family B, 1 [Source:HGNC Symbol;Acc:HGNC:6808]	MAGEB1
ENSG00000213185	family with sequence similarity 24, member B [Source:HGNC Symbol;Acc:HGNC:23475]	FAM24B
ENSG00000181798	long intergenic non-protein coding RNA 471 [Source:HGNC Symbol;Acc:HGNC:28668]	LINC00471
ENSG00000231672	disrupted in renal carcinoma 3 [Source:HGNC Symbol;Acc:HGNC:17805]	DIRC3
ENSG00000147262	G protein-coupled receptor 119 [Source:HGNC Symbol;Acc:HGNC:19060]	GPR119
ENSG00000128011	leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29290]	LRFN1
ENSG00000167476	junctional sarcoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:24963]	JSRP1
ENSG00000125850	ovo-like zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:15804]	OVOL2
ENSG00000180910	testis-specific transcript, Y-linked 11 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:18492]	TTTY11
ENSG00000196268	zinc finger protein 493 [Source:HGNC Symbol;Acc:HGNC:23708]	ZNF493
ENSG00000232118	BACH1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40008]	BACH1-AS1
ENSG00000161091	major facilitator superfamily domain containing 12 [Source:HGNC Symbol;Acc:HGNC:28299]	MFSD12
ENSG00000275269	Fc fragment of IgA, receptor for [Source:HGNC Symbol;Acc:HGNC:3608]	FCAR
ENSG00000171596	neuromedin U receptor 1 [Source:HGNC Symbol;Acc:HGNC:4518]	NMUR1
ENSG00000132570	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2 [Source:HGNC Symbol;Acc:HGNC:24474]	PCBD2
ENSG00000146039	solute carrier family 17, member 4 [Source:HGNC Symbol;Acc:HGNC:10932]	SLC17A4
ENSG00000255700	apolipoprotein O pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:48741]	APOOP3
ENSG00000167615	leukocyte receptor cluster (LRC) member 8 [Source:HGNC Symbol;Acc:HGNC:15500]	LENG8
ENSG00000198208	ribosomal protein S6 kinase-like 1 [Source:HGNC Symbol;Acc:HGNC:20222]	RPS6KL1
ENSG00000130656	hemoglobin, zeta [Source:HGNC Symbol;Acc:HGNC:4835]	HBZ
ENSG00000100196	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]	KDELR3
ENSG00000275035	coiled-coil domain containing 92 [Source:HGNC Symbol;Acc:HGNC:29563]	CCDC92
ENSG00000101493	zinc finger protein 516 [Source:HGNC Symbol;Acc:HGNC:28990]	ZNF516
ENSG00000169288	mitochondrial ribosomal protein L1 [Source:HGNC Symbol;Acc:HGNC:14275]	MRPL1
ENSG00000130176	calponin 1, basic, smooth muscle [Source:HGNC Symbol;Acc:HGNC:2155]	CNN1
ENSG00000198821	CD247 molecule [Source:HGNC Symbol;Acc:HGNC:1677]	CD247
ENSG00000175319	neurofibromin 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:7770]	NF1P5
ENSG00000211691	T cell receptor gamma joining P [Source:HGNC Symbol;Acc:HGNC:12279]	TRGJP
ENSG00000164209	solute carrier family 25, member 46 [Source:HGNC Symbol;Acc:HGNC:25198]	SLC25A46
ENSG00000170890	phospholipase A2, group IB (pancreas) [Source:HGNC Symbol;Acc:HGNC:9030]	PLA2G1B
ENSG00000215533	long intergenic non-protein coding RNA 189 [Source:HGNC Symbol;Acc:HGNC:18461]	LINC00189
ENSG00000124160	nuclear receptor coactivator 5 [Source:HGNC Symbol;Acc:HGNC:15909]	NCOA5
ENSG00000104881	protein phosphatase 1, regulatory subunit 13 like [Source:HGNC Symbol;Acc:HGNC:18838]	PPP1R13L
ENSG00000163939	polybromo 1 [Source:HGNC Symbol;Acc:HGNC:30064]	PBRM1
ENSG00000206069	transmembrane protein 211 [Source:HGNC Symbol;Acc:HGNC:33725]	TMEM211
ENSG00000266719	microRNA 4676 [Source:HGNC Symbol;Acc:HGNC:41691]	MIR4676
ENSG00000252103	RNA, U6 small nuclear 917, pseudogene [Source:HGNC Symbol;Acc:HGNC:47880]	RNU6-917P
ENSG00000100097	lectin, galactoside-binding, soluble, 1 [Source:HGNC Symbol;Acc:HGNC:6561]	LGALS1
ENSG00000188659	family with sequence similarity 154, member B [Source:HGNC Symbol;Acc:HGNC:33727]	FAM154B
ENSG00000224082	upstream binding transcription factor, RNA polymerase I-like 8 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:44476]	UBTFL8
ENSG00000170476	marginal zone B and B1 cell-specific protein [Source:HGNC Symbol;Acc:HGNC:30125]	MZB1
ENSG00000175206	natriuretic peptide A [Source:HGNC Symbol;Acc:HGNC:7939]	NPPA
ENSG00000135502	solute carrier family 26, member 10 [Source:HGNC Symbol;Acc:HGNC:14470]	SLC26A10
ENSG00000208017	microRNA 140 [Source:HGNC Symbol;Acc:HGNC:31527]	MIR140
ENSG00000162885	beta-1,3-N-acetylgalactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:28596]	B3GALNT2
ENSG00000164045	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	CDC25A
ENSG00000105486	ligase I, DNA, ATP-dependent [Source:HGNC Symbol;Acc:HGNC:6598]	LIG1
ENSG00000172458	interleukin 17D [Source:HGNC Symbol;Acc:HGNC:5984]	IL17D
ENSG00000226844	olfactory receptor, family 2, subfamily U, member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:8279]	OR2U2P
ENSG00000275811	5-hydroxytryptamine (serotonin) receptor 1D pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:5290]	HTR1DP1
ENSG00000274958	inositol-tetrakisphosphate 1-kinase [Source:HGNC Symbol;Acc:HGNC:6177]	ITPK1
ENSG00000225355	ADP-ribosylation factor-like 6 interacting protein 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44971]	ARL6IP1P2
ENSG00000231279	olfactory receptor, family 2, subfamily B, member 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:8239]	OR2B4P
ENSG00000141756	FK506 binding protein 10, 65 kDa [Source:HGNC Symbol;Acc:HGNC:18169]	FKBP10
ENSG00000237690	olfactory receptor, family 2, subfamily B, member 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:8239]	OR2B4P
ENSG00000226763	serine/arginine repetitive matrix 5 [Source:HGNC Symbol;Acc:HGNC:37248]	SRRM5
ENSG00000276787	FANCD2/FANCI-associated nuclease 1 [Source:HGNC Symbol;Acc:HGNC:29170]	FAN1
ENSG00000104859	CLK4-associating serine/arginine rich protein [Source:HGNC Symbol;Acc:HGNC:17731]	CLASRP
ENSG00000115568	zinc finger protein 142 [Source:HGNC Symbol;Acc:HGNC:12927]	ZNF142
ENSG00000169251	NMD3 ribosome export adaptor [Source:HGNC Symbol;Acc:HGNC:24250]	NMD3
ENSG00000233900	ribosomal protein L17 pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:35819]	RPL17P35
ENSG00000167748	kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]	KLK1
ENSG00000239819	immunoglobulin kappa variable 1D-8 [Source:HGNC Symbol;Acc:HGNC:5759]	IGKV1D-8
ENSG00000216998	cytochrome P450, family 2, subfamily AC, polypeptide 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:39976]	CYP2AC1P
ENSG00000006128	tachykinin, precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]	TAC1
ENSG00000257542	olfactory receptor, family 7, subfamily E, member 47 pseudogene [Source:HGNC Symbol;Acc:HGNC:8421]	OR7E47P
ENSG00000095319	nucleoporin 188kDa [Source:HGNC Symbol;Acc:HGNC:17859]	NUP188
ENSG00000258981	cytochrome c oxidase subunit Va pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:20005]	COX5AP2
ENSG00000236397	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 2 [Source:HGNC Symbol;Acc:HGNC:37103]	DDX11L2
ENSG00000214787	membrane-spanning 4-domains, subfamily A, member 4E [Source:HGNC Symbol;Acc:HGNC:14284]	MS4A4E
ENSG00000101421	charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]	CHMP4B
ENSG00000271417	small nucleolar RNA host gene 24 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:50825]	SNHG24
ENSG00000268940	cancer/testis antigen family 45, member A1 [Source:HGNC Symbol;Acc:HGNC:33267]	CT45A1
ENSG00000108018	sortilin-related VPS10 domain containing receptor 1 [Source:HGNC Symbol;Acc:HGNC:16697]	SORCS1
ENSG00000196659	tetratricopeptide repeat domain 30B [Source:HGNC Symbol;Acc:HGNC:26425]	TTC30B
ENSG00000231202	T cell receptor gamma variable B (pseudogene) [Source:HGNC Symbol;Acc:HGNC:12297]	TRGVB
ENSG00000214318	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9) pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:39509]	ATP5G1P6
ENSG00000236918	olfactory receptor, family 2, subfamily U, member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8278]	OR2U1P
ENSG00000132031	matrilin 3 [Source:HGNC Symbol;Acc:HGNC:6909]	MATN3
ENSG00000146828	solute carrier family 12, member 9 [Source:HGNC Symbol;Acc:HGNC:17435]	SLC12A9
ENSG00000227411	bile acid CoA: amino acid N-acyltransferase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:34504]	BAATP1
ENSG00000235316	dual specificity phosphatase 8 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:45003]	DUSP8P5
ENSG00000250571	GLI family zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:4320]	GLI4
ENSG00000264663	keratin 8 pseudogene 34 [Source:HGNC Symbol;Acc:HGNC:39868]	KRT8P34
ENSG00000173085	coenzyme Q2 4-hydroxybenzoate polyprenyltransferase [Source:HGNC Symbol;Acc:HGNC:25223]	COQ2
ENSG00000105948	tetratricopeptide repeat domain 26 [Source:HGNC Symbol;Acc:HGNC:21882]	TTC26
ENSG00000183251	olfactory receptor, family 51, subfamily B, member 4 [Source:HGNC Symbol;Acc:HGNC:14708]	OR51B4
ENSG00000214517	protein phosphatase methylesterase 1 [Source:HGNC Symbol;Acc:HGNC:30178]	PPME1
ENSG00000203706	SERTAD4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:32019]	SERTAD4-AS1
ENSG00000219545	RPA3 opposite strand [Source:HGNC Symbol;Acc:HGNC:48955]	RPA3OS
ENSG00000196167	colorectal cancer associated 1 [Source:HGNC Symbol;Acc:HGNC:33789]	COLCA1
ENSG00000198743	solute carrier family 5 (sodium/myo-inositol cotransporter), member 3 [Source:HGNC Symbol;Acc:HGNC:11038]	SLC5A3
ENSG00000254097	immunoglobulin kappa variable 3D-25 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5826]	IGKV3D-25
ENSG00000053918	potassium voltage-gated channel, KQT-like subfamily, member 1 [Source:HGNC Symbol;Acc:HGNC:6294]	KCNQ1
ENSG00000197054	zinc finger protein 763 [Source:HGNC Symbol;Acc:HGNC:27614]	ZNF763
ENSG00000107036	RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:17686]	RIC1
ENSG00000172367	PDZ domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19891]	PDZD3
ENSG00000231618	palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]	PPT2
ENSG00000116663	F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]	FBXO6
ENSG00000250959	glutamate dehydrogenase 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:4338]	GLUD1P3
ENSG00000198924	DNA cross-link repair 1A [Source:HGNC Symbol;Acc:HGNC:17660]	DCLRE1A
ENSG00000240074	ribosomal protein L9 pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:36316]	RPL9P30
ENSG00000105997	homeobox A3 [Source:HGNC Symbol;Acc:HGNC:5104]	HOXA3
ENSG00000258477	peptidylprolyl isomerase A (cyclophilin A) pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:20028]	PPIAP6
ENSG00000206075	serpin peptidase inhibitor, clade B (ovalbumin), member 5 [Source:HGNC Symbol;Acc:HGNC:8949]	SERPINB5
ENSG00000196204	ring finger protein 216 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33610]	RNF216P1
ENSG00000203908	KH domain containing 3-like, subcortical maternal complex member [Source:HGNC Symbol;Acc:HGNC:33699]	KHDC3L
ENSG00000131050	BPI fold containing family A, member 2 [Source:HGNC Symbol;Acc:HGNC:16203]	BPIFA2
ENSG00000198692	eukaryotic translation initiation factor 1A, Y-linked [Source:HGNC Symbol;Acc:HGNC:3252]	EIF1AY
ENSG00000157764	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	BRAF
ENSG00000171903	cytochrome P450, family 4, subfamily F, polypeptide 11 [Source:HGNC Symbol;Acc:HGNC:13265]	CYP4F11
ENSG00000214822	keratin 16 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37808]	KRT16P3
ENSG00000229840	iron-sulfur cluster assembly 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38023]	ISCA1P2
ENSG00000222397	RNA, 7SK small nuclear pseudogene 229 [Source:HGNC Symbol;Acc:HGNC:45953]	RN7SKP229
ENSG00000178222	ring finger protein 212 [Source:HGNC Symbol;Acc:HGNC:27729]	RNF212
ENSG00000273633	CDC42 effector protein (Rho GTPase binding) 5 [Source:HGNC Symbol;Acc:HGNC:17408]	CDC42EP5
ENSG00000147036	LanC lantibiotic synthetase component C-like 3 (bacterial) [Source:HGNC Symbol;Acc:HGNC:24767]	LANCL3
ENSG00000212373	RNA, 5S ribosomal pseudogene 171 [Source:HGNC Symbol;Acc:HGNC:43071]	RNA5SP171
ENSG00000235339	gem (nuclear organelle) associated protein 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:49562]	GEMIN2P2
ENSG00000243672	ribosomal protein S3a pseudogene 40 [Source:HGNC Symbol;Acc:HGNC:35869]	RPS3AP40
ENSG00000241965	ribosomal protein S2 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:36410]	RPS2P25
ENSG00000106123	EPH receptor B6 [Source:HGNC Symbol;Acc:HGNC:3396]	EPHB6
ENSG00000142166	interferon (alpha, beta and omega) receptor 1 [Source:HGNC Symbol;Acc:HGNC:5432]	IFNAR1
ENSG00000141977	calcium and integrin binding family member 3 [Source:HGNC Symbol;Acc:HGNC:24580]	CIB3
ENSG00000177800	transmembrane protein 78 [Source:HGNC Symbol;Acc:HGNC:32307]	TMEM78
ENSG00000141503	misshapen-like kinase 1 [Source:HGNC Symbol;Acc:HGNC:17565]	MINK1
ENSG00000233306	T cell receptor gamma variable 2 [Source:HGNC Symbol;Acc:HGNC:12287]	TRGV2
ENSG00000137462	toll-like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	TLR2
ENSG00000005243	coatomer protein complex, subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]	COPZ2
ENSG00000144118	v-ral simian leukemia viral oncogene homolog B [Source:HGNC Symbol;Acc:HGNC:9840]	RALB
ENSG00000108395	tripartite motif containing 37 [Source:HGNC Symbol;Acc:HGNC:7523]	TRIM37
ENSG00000135517	major intrinsic protein of lens fiber [Source:HGNC Symbol;Acc:HGNC:7103]	MIP
ENSG00000225904	mortality factor 4 like 1 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:39259]	MORF4L1P7
ENSG00000131697	nephronophthisis 4 [Source:HGNC Symbol;Acc:HGNC:19104]	NPHP4
ENSG00000177673	chromosome 2 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:28563]	C2orf57
ENSG00000123395	autophagy related 101 [Source:HGNC Symbol;Acc:HGNC:25679]	ATG101
ENSG00000215339	zinc finger protein 705C, pseudogene [Source:HGNC Symbol;Acc:HGNC:32283]	ZNF705C
ENSG00000236756	DNAJC9 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:31432]	DNAJC9-AS1
ENSG00000183310	olfactory receptor, family 2, subfamily T, member 34 [Source:HGNC Symbol;Acc:HGNC:31256]	OR2T34
ENSG00000133433	glutathione S-transferase theta 2B (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:33437]	GSTT2B
ENSG00000166333	integrin-linked kinase [Source:HGNC Symbol;Acc:HGNC:6040]	ILK
ENSG00000227440	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9) pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:39507]	ATP5G1P4
ENSG00000167967	E4F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3121]	E4F1
ENSG00000188636	leucine zipper, down-regulated in cancer 1-like [Source:HGNC Symbol;Acc:HGNC:13343]	LDOC1L
ENSG00000254841	olfactory receptor, family 4, subfamily V, member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:14736]	OR4V1P
ENSG00000177675	CD163 molecule-like 1 [Source:HGNC Symbol;Acc:HGNC:30375]	CD163L1
ENSG00000199691	RNA, 7SK small nuclear pseudogene 173 [Source:HGNC Symbol;Acc:HGNC:45897]	RN7SKP173
ENSG00000137033	interleukin 33 [Source:HGNC Symbol;Acc:HGNC:16028]	IL33
ENSG00000258955	long intergenic non-protein coding RNA 519 [Source:HGNC Symbol;Acc:HGNC:19838]	LINC00519
ENSG00000000460	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]	C1orf112
ENSG00000173653	Ras converting CAAX endopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:13721]	RCE1
ENSG00000227776	aldo-keto reductase family 1, member D1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:11288]	AKR1D1P1
ENSG00000135069	phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]	PSAT1
ENSG00000204481	PRAME family member 14 [Source:HGNC Symbol;Acc:HGNC:13576]	PRAMEF14
ENSG00000113805	contactin 3 (plasmacytoma associated) [Source:HGNC Symbol;Acc:HGNC:2173]	CNTN3
ENSG00000174914	olfactory receptor, family 9, subfamily G, member 1 [Source:HGNC Symbol;Acc:HGNC:15319]	OR9G1
